"b_Habitat_QualityMed","b_Habitat_QualityHigh","b_Trail_ConditionMed","b_Trail_ConditionHigh","b_CrowdingMed","b_CrowdingHigh","b_cost","b_resident","b_age","b_income","b_sex","logLike"
0,0,0,0,0,0,0,0,0,0,0,-4051.68212060775
0.030661655589907,0.0932457252376489,0.0547883176628288,0.087164366712675,0.0761123722328713,0.0485599298093046,0.0012520032029882,0.101611459053949,0.0368456820191069,0.050822700290402,0.217994005156388,-3553.60408259935
0.0604370311883619,0.298631232570393,0.166206155488875,0.290319823877424,0.188556404662605,0.131165280052704,-0.000239145758441851,-0.164998653854023,0.0808396137750815,0.179920640842281,0.673984936531515,-3191.40870076469
0.215664517382926,0.569195045935059,0.382599455762057,0.604966074689892,0.219072660264925,0.258960284721017,-0.00656751853330982,-0.39410239921119,0.0321517617746132,0.238669211211891,0.668745155605786,-3102.41209378225
0.337901345294921,0.691258805105543,0.493245216785784,0.71338252413936,0.288834590168503,0.375534573070242,-0.00734682029020934,-0.606389970997246,-0.121369995749898,0.396315881970408,0.868544245084297,-3091.170350737
0.329992202669717,0.683306283482449,0.484276301572529,0.707381323082598,0.280270100075075,0.363297262783602,-0.00733939328150389,-0.555209937075895,-0.0859744541766118,0.343694429606023,0.774509061699274,-3089.40866725977
0.333268269063175,0.687808726594922,0.487163169974289,0.710116756029191,0.282158570248247,0.366885167557818,-0.0072911358156851,-0.55189294747651,-0.0874627508363999,0.340704118123763,0.770300168384676,-3089.38143458489
0.334253705686583,0.688924911814421,0.488055413390171,0.711037319725249,0.282745396483912,0.367974029364144,-0.00728539301613036,-0.552056530700012,-0.0882718436545091,0.340631714578004,0.770333970318884,-3089.38040185002
0.334259617795081,0.688931280227276,0.488071364512777,0.71104982740739,0.282756467040985,0.36799019454046,-0.00728547450507887,-0.552081733574261,-0.0882910617474871,0.340649438297285,0.770364829244998,-3089.38040151892
0.334259038633631,0.688930627479432,0.488071858384454,0.711050370017493,0.282756623606998,0.36799029988193,-0.00728547839047488,-0.552082588543006,-0.0882913253231977,0.340649857715212,0.77036591820445,-3089.38040151862
