"b_HabitatMed_1","b_HabitatHigh_1","b_TrailCondMed_1","b_TrailCondHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","asc_optout_1","b_HabitatMed_2","b_HabitatHigh_2","b_TrailCondMed_2","b_TrailCondHigh_2","b_CrowdingMed_2","b_CrowdingLow_2","b_cost_2","asc_optout_2","delta_2","logLike"
0.35,0.86,0.49,0.82,0.27,0.35,-0.014,-3.179,0.1,0.2,0.1,0.2,0.1,0.1,-0.03,-1,0,-4968.59217018729
0.366270534024152,0.839521824692176,0.48158159708087,0.813770271286702,0.271977930985481,0.366354623949783,-0.0121990499413646,-4.18718510880504,0.175776507364772,0.238464068451631,0.125154178821496,0.234080348005599,0.146182458663365,0.13282749699416,-0.0267956217875397,-1.08153885041267,-0.126463012148786,-4865.65265798193
0.288876791719814,0.765448723626121,0.474196948319589,0.763443771778909,0.26353878714719,0.378969216447292,-0.0064168492135429,-2.0274121887691,0.314724552016805,0.349534983511781,0.0973285628026358,0.253896030216804,0.178216889267885,0.118557248175242,-0.019497369545978,-1.14256757278371,-0.24379474666772,-4796.96273339387
-0.0486769341268105,0.496244007853696,0.551551157467846,0.760358720188614,0.282692936472809,0.358750620605732,-0.000818961483463573,-1.52056524227551,0.646897510806773,0.632528512078094,-0.0630473511374086,0.223699188688339,0.0918590497788721,0.0539217366595844,-0.0225832777477804,-1.46389747586577,-0.229646243124195,-4784.03487038421
-0.408168211652105,0.344119412448327,0.655156415501527,0.943190058527761,0.347552476069243,0.41231453329168,0.000389712347874765,-1.59616671812782,1.07196273963267,0.826772494471232,-0.222393905905136,0.0321856497197802,0.00770488843825337,-0.0228230390871893,-0.0260384805632219,-1.53371329228213,-0.201756816449759,-4777.70199236053
-0.566594197495138,0.271306298453377,0.759809106094852,1.01308427405315,0.358022054914512,0.380537247132423,-2.68815748083403e-05,-1.50370342608884,1.20061360845076,0.88727906038559,-0.33220272463427,0.0111403014495087,0.0165383442024916,0.0274835814928685,-0.0262435270344877,-1.54784670168697,-0.198273903970705,-4775.26373424242
-0.830065610026236,0.200515032829205,1.00294592148809,1.11965544425916,0.314462197745083,0.265864210201357,-0.000686368288464978,-1.39690814396131,1.41947793884036,0.957540378449163,-0.578322449085646,-0.0160202101901268,0.102622819951317,0.196082303439459,-0.0255902299795319,-1.53122683091715,-0.15875295707741,-4770.45320839686
-1.42634657449837,0.242945532825079,1.63077834381396,1.44905927026352,0.0918502815444047,0.0222012067931679,0.00137206013346942,-1.25410951456147,1.72856008348,0.975681295481427,-0.934065985561027,0.0380523123668563,0.411563873880473,0.555345969058252,-0.0272973258221294,-1.40165019780551,0.107585160688234,-4767.74047484204
-1.66806583199449,0.341493644472211,1.69713461845619,1.468427043697,0.117192397597146,0.0696502990711137,0.00120703188710743,-1.19490320185611,2.12256835112281,1.0916002711548,-0.996135237944158,0.106790048909943,0.350578428605884,0.546141674461919,-0.0328643620369118,-1.32640082875813,-0.0777710496459736,-4762.38956866134
-1.69492370688988,0.28824255071328,1.77829475939362,1.5108384723432,0.133959496860048,0.105752078726359,0.000553266207675699,-1.20034632400466,2.01680793676168,1.08992974988146,-0.933445330440831,0.1363418947664,0.333023366799676,0.507491152543068,-0.0312526057901418,-1.31637996915087,0.00224203380468306,-4762.02099972359
-1.81427162635555,0.257143515869322,1.86559576243319,1.57353519422042,0.153396774055926,0.128575543365056,0.000931459745500643,-1.18265183654269,1.93136341300037,1.05820366506815,-0.865832833162919,0.157302751077085,0.319259005613321,0.478055979050024,-0.0301104417412703,-1.31797978966751,0.0726768939936713,-4761.98430878112
-1.88382487876386,0.227721898208276,1.92677359255007,1.61427038325049,0.176912807135799,0.156792032866224,0.00083096747748971,-1.19298290968802,1.86458441942849,1.04283841362616,-0.82526920795939,0.16650027552878,0.309556580749255,0.455715284629382,-0.0290278558255086,-1.30703642271984,0.117798721216603,-4761.9537498709
-2.00439737132538,0.190203181850406,2.02903113663829,1.69546992188469,0.202758013216854,0.181580270127989,0.00114587531347723,-1.18670496468868,1.77627404598079,1.0157564901553,-0.765125350302741,0.17997368634774,0.297699364392009,0.435647600535135,-0.0278487137387761,-1.30072907437929,0.186954284871054,-4761.91974830222
-2.11205518656969,0.150822122456019,2.12683628812618,1.77193604233811,0.237695802007761,0.215986289173442,0.00108716919257372,-1.19730892537094,1.70338688564278,0.994682260561286,-0.719413265675392,0.188524317870739,0.28688487639626,0.416361993821538,-0.026739698909209,-1.28909771175931,0.243055971489333,-4761.87500635101
-2.27192148222197,0.100517593913537,2.27091665090723,1.89160878257093,0.283203842402098,0.255539041748346,0.00122433367040486,-1.1985206105463,1.61729462670246,0.965809632989319,-0.662332146805993,0.199902408525574,0.274781383871103,0.39899598939196,-0.0255628464514023,-1.2794966541353,0.315881262597018,-4761.81624435312
-2.43804011536199,0.0487205294974023,2.42928067952635,2.0232320693728,0.340714357010313,0.30563069338608,0.000908695229926742,-1.22111319793889,1.54101471055923,0.938946579645985,-0.614963751331995,0.20745944972146,0.26392378101078,0.383184354664683,-0.0244136425606631,-1.26575108634073,0.379644345523539,-4761.73437971787
-2.66687632779992,-0.0110947356819831,2.64916062817357,2.21234039423272,0.413119629636337,0.364217651663781,0.000530107805610229,-1.24621148052793,1.45822228253475,0.90559035608265,-0.562331373067073,0.215737824356368,0.253478438233285,0.370683897161271,-0.0232556074330553,-1.25411326137608,0.453210311407698,-4761.62741565352
-2.92163904242489,-0.0624577880536431,2.90809463969936,2.43173404094234,0.494840143246969,0.4323608088182,-0.000555922237031524,-1.30423912937002,1.38416036006283,0.872803238066974,-0.519162882696608,0.220582122706543,0.24568322247636,0.360739750525246,-0.0221621135732465,-1.24234867842068,0.517360462856824,-4761.49405652586
