"b_Habitat_QualityMed","b_Habitat_QualityHigh","b_Trail_ConditionMed","b_Trail_ConditionHigh","b_CrowdingMed","b_CrowdingLow","b_cost","asc_optout","b_resident","b_age","b_education","b_income","b_sex","sd_Habitat_QualityMed","sd_Habitat_QualityHigh","sd_Trail_ConditionMed","sd_Trail_ConditionHigh","sd_CrowdingMed","sd_CrowdingLow","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-6204.36780239688
0.031031914601995,0.077595622689468,0.0631744954536484,0.0836535896123659,0.0815068463416441,0.0564001120409713,0.000221453666419532,-0.0908873660299281,-0.0195664135850377,0.0099695414805562,0.0643473263334716,0.021026997854688,0.0736093395032875,0.643624457077829,0.583659836582613,0.4295555847355,0.482167407894837,0.519676345104982,0.598571213119683,-5520.70044659589
0.13303411936029,0.214428158379861,0.175372030015446,0.336466242199185,0.259827417073458,0.23977081419739,-0.00517503350526702,-1.12531691622261,-0.432263249507475,-0.14883818231927,0.0565846351333082,0.0930695612928857,0.117719047602966,0.980059176252353,0.836591360356022,0.627302999471859,0.607900660993495,0.612941272183821,0.894136730269889,-4969.99726971203
0.288315499102231,0.408194319787918,0.384044978674353,0.634433466545747,0.348267929593432,0.430511202102386,-0.0107620654739348,-2.4977700783593,-0.929919117486076,-0.385370293570705,-0.030983851657349,0.196195097866509,0.146881067955319,1.09660010398182,1.45375814180705,0.716945016945038,0.968568686140465,0.647297562114763,1.0330037529917,-4758.84623665754
0.292324180479032,0.718194366293307,0.437744168335359,0.779140637850702,0.268389351351059,0.343646597224871,-0.0126000964668498,-2.74868234792291,-0.980372364555124,-0.411063326626603,-0.0891182513731567,0.208371184737026,0.105920966775582,1.10716249561063,1.60154333017052,0.63780143082294,1.17391189511638,0.696735384635038,1.03839076850126,-4728.71064810223
0.321495596058095,0.768363223655444,0.448549498880439,0.844822323289461,0.26127198054399,0.322553058765394,-0.0131408726272324,-2.79275805050393,-0.956548212411593,-0.414586367317548,-0.102508386773529,0.207805843141917,0.0971665376092562,1.0849060788367,1.67044786700171,0.64337137776233,1.17334519193006,0.702106057627263,1.02717538767986,-4726.79002288327
0.323388291607616,0.788927695960118,0.454949843570278,0.855581619325521,0.2574233718778,0.316107227211653,-0.0131855765357632,-2.7891031246263,-0.919467391526835,-0.410256838167984,-0.112149081815013,0.204149250415919,0.0901027235175948,1.10584448161486,1.66930788235514,0.626214244817804,1.18030335436041,0.707418765571706,1.01669515400339,-4726.57164010364
0.322169734532997,0.784033479857591,0.452428679032925,0.853080911887524,0.257994771936851,0.314802138451606,-0.013211450438338,-2.79499109977756,-0.906826445182819,-0.41020983230359,-0.11632783522523,0.203490274452488,0.0895990802766717,1.09808706895451,1.66283753715492,0.626516739933346,1.17429740857427,0.698474399205619,1.01488027514684,-4726.53708586836
0.320319444470869,0.777777047834235,0.449716660044236,0.847597752985901,0.257999567972494,0.315060522907659,-0.0131776660141599,-2.79791640953937,-0.895428635254008,-0.409928114315535,-0.120465399793884,0.202792034613777,0.0894605811803777,1.09023639435681,1.65331406802394,0.622432773202321,1.16604112281537,0.691084737234216,1.00965511110499,-4726.52012893016
0.319405523666055,0.775954511496543,0.448902377741745,0.845432220297635,0.258021389501392,0.31516081433003,-0.0131507405308984,-2.79780511389254,-0.895223725438257,-0.409779524324109,-0.121209012708161,0.202632580249671,0.0895738917319,1.08813102409286,1.64894556547542,0.618783021234758,1.16288264011505,0.687668385449505,1.00739003194016,-4726.51717732175
0.319203534590442,0.776440289049516,0.449066752345711,0.84475189269149,0.257604646246564,0.315193749197387,-0.0131190313052936,-2.79619654382006,-0.897348813910744,-0.409665734682796,-0.120720232592954,0.202661063174045,0.0896989537619012,1.08759170203628,1.64487109120715,0.615360589656552,1.16050857293631,0.687524756415132,1.00504407483223,-4726.51550319331
0.318954119083418,0.775751189313707,0.448775112905729,0.844594045884196,0.257536584646847,0.315000826408367,-0.0131193269161701,-2.79658604049884,-0.898345072114132,-0.409573825592352,-0.120417396188912,0.202606223028121,0.0896612239024128,1.08649158026961,1.64469717853288,0.61491345177537,1.15985047229459,0.686388959527031,1.00461711125867,-4726.51528250106
0.318843537501938,0.77569363957902,0.448739850561865,0.844417979396466,0.257493495409481,0.314969003193563,-0.0131164898037886,-2.79656071719992,-0.898735863368209,-0.409488529605803,-0.120268557612504,0.202558846249132,0.0895939911533916,1.08658779325367,1.64416349275899,0.614542773310981,1.15977009384046,0.686496085902304,1.00428434119292,-4726.51523306882
0.318775946615968,0.775531426026628,0.448655356218627,0.844304174179318,0.257475195439642,0.314921108914068,-0.0131149125773411,-2.79654567256924,-0.899123577635786,-0.40940829339252,-0.120112485424547,0.202520728808248,0.0895578013497889,1.08628526730357,1.64396871485062,0.614373287746377,1.15958046251415,0.686167936075214,1.00408059991249,-4726.51521637542
0.318772019755355,0.775519335749625,0.448654559954717,0.844306568463137,0.257475536354479,0.314919621291353,-0.013115055173875,-2.79650663296021,-0.899099198524389,-0.409398006558376,-0.120106009135158,0.202521729919575,0.0895588744678028,1.086289488672,1.64396939374473,0.614371583799395,1.15958329721962,0.686173405147295,1.00408335487199,-4726.51521609556
