"b_HabitatMed_1","b_HabitatHigh_1","b_TrailCondMed_1","b_TrailCondHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","asc_optout_1","b_HabitatMed_2","b_HabitatHigh_2","b_TrailCondMed_2","b_TrailCondHigh_2","b_CrowdingMed_2","b_CrowdingLow_2","b_cost_2","asc_optout_2","b_HabitatMed_3","b_HabitatHigh_3","b_TrailCondMed_3","b_TrailCondHigh_3","b_CrowdingMed_3","b_CrowdingLow_3","b_cost_3","asc_optout_3","delta_2","delta_3","logLike"
-1.0505,0.3903,1.6264,1.3799,0.8364,0.161,-0.0052,-0.5926,3.3584,0.0052,-4.9091,-0.9006,-1.2292,-1.9363,-0.1238,-9.9918,19.2234,17.7302,0.9095,0.6291,-1.568,16.5932,-0.0707,15.9258,-0.8085,-1.7335,-4978.26904300329
-1.08891628201426,0.399973316520455,1.64791553624589,1.37139740267689,0.861571305673978,0.145146167807031,-0.00487170854170287,-0.604205416240862,3.3173501365026,0.0557683458505112,-4.87311848638547,-0.887555903591893,-1.15256802317188,-1.97888041467146,-0.124416512564802,-9.98488783913215,19.2120736306215,17.7604922133267,0.936798599445832,0.62991538561737,-1.53917402765037,16.6118569424216,-0.0706414771179143,15.9168747047293,-0.8085,-1.7335,-4956.35520681254
-1.29573403578063,0.417973961441516,1.74278353554257,1.33881084844641,0.967953710883074,0.0747627175116936,-0.00320314776762089,-0.638200505804543,3.1545932513005,0.205443370450677,-4.7416226309828,-0.73659295445922,-0.882952235320717,-2.13887024614763,-0.126191504056284,-9.9977448564398,19.1440507152032,17.8282888624649,1.01778867612149,0.625015804382915,-1.45550090581402,16.7203205470847,-0.070401502932014,15.8956438700265,-0.8085,-1.7335,-4886.10649200568
-2.08193804644819,0.198634943102981,2.02927893837517,1.33553613748645,1.1785449224085,-0.1104894461027,0.00342849225017572,-0.579857214129326,2.41400241269338,0.252391320715981,-4.50742360989239,0.372829103026653,-0.2087149696676,-2.5806764926266,-0.122910380193028,-10.4505877738275,18.9808350996624,17.603884136417,1.0203200751812,0.236440105392671,-1.09162117307937,17.1903809555759,-0.0612137790471902,15.889137521294,-0.8085,-1.7335,-4787.3191125348
-2.62020719766926,0.0885217272395085,2.54330870635196,1.81845262531997,1.59066617900851,0.0188468441473443,0.00491419187407534,-0.00550614182552678,1.80420410012931,-0.236587007590784,-3.97095384612547,0.25491433515252,-0.438426752090713,-2.4348669494813,-0.109501696198505,-9.86954452028148,18.640974933575,17.2267260562424,0.752440945970291,-0.0835822432312762,-0.769746214130675,17.3045800523473,-0.0377739615283382,16.1108116485135,-0.8085,-1.7335,-4767.91819572948
-2.61478340888799,0.531952198391023,3.08886978279378,2.13497747383705,2.19478491169441,0.103330736667594,0.00158449454286491,0.736411714540396,1.27830136564424,-0.254671009055203,-3.39862233816237,0.101808303639773,-0.569064520820384,-2.02912833064103,-0.0938940903772189,-8.70651968450113,18.3170547203143,16.9945894711625,0.874668184520123,-0.00655355267950745,-0.841849080875717,17.4251642577952,-0.0270419399417305,16.2788005456017,-0.8085,-1.7335,-4760.83562173214
-2.39054702512707,1.1285032918617,3.90318720403617,2.85704086844921,2.8976164785468,0.465190333274858,0.00205525204186648,2.30370282555997,0.299056236370462,-0.484777475958729,-1.78412691708596,-0.0686348879110758,-0.508794307846682,-1.29737022313345,-0.0515538850788973,-5.63487078509939,18.2059980775188,17.2138081005266,0.693752335064582,0.153262668379803,-0.804825469240179,17.7295900342261,-0.0270650078381185,16.1781539421397,-0.8085,-1.7335,-4760.7989329541
-2.36714779947619,1.62438658489193,4.70303402152386,3.74678187158926,3.40765539469946,0.738411852251893,0.00578391423655642,3.77580738105834,0.547506879585623,-0.481631715267368,-1.53868600161393,0.0525667931121925,-0.343591846018999,-1.43965676592354,-0.0501244534527001,-5.2791341763657,18.1456461048135,17.4289958257253,0.370408996006299,0.29150972627808,-0.79504569174113,18.425180612324,-0.0315987436127958,15.8823391192842,-0.8085,-1.7335,-4755.38584142005
-2.13099225246986,1.41777843275568,3.9101853870068,3.16439432405447,2.89216551582128,0.525372603525223,0.00287501642367253,2.7769716846284,0.629278341482558,-0.371364861404764,-1.51384253754521,0.123766821598935,-0.339542270516099,-1.41841600156254,-0.0504317541074011,-5.17136826704987,18.0790695383843,17.4551759695037,0.42129897172539,0.213887586210711,-0.880760800897475,18.5831429501101,-0.0297385733009273,15.8508375347734,-0.8085,-1.7335,-4754.47071436562
-2.19668204496146,1.44782844686682,4.0203193250113,3.25692227277134,2.99020612891572,0.548404829098302,0.00333275501701378,2.93001849197877,0.638614537431371,-0.381986589294773,-1.50405423244251,0.140012378454455,-0.348597713182262,-1.43237315377772,-0.0503763542891336,-5.16710407139175,16.3450177809375,15.7449535350588,0.441110657648575,0.197660090943097,-0.893057884641333,16.9108976083711,-0.0303208050913584,14.107314150576,-0.8085,-1.7335,-4754.43440823693
