"b_Habitat_QualityMed","b_Habitat_QualityHigh","b_Trail_ConditionMed","b_Trail_ConditionHigh","b_CrowdingMed","b_CrowdingHigh","b_cost","b_resident","b_age","b_income","b_sex","logLike"
0,0,0,0,0,0,0,0,0,0,0,-645.984025736854
0.0582497934842994,0.0761149661457404,0.058803000647351,0.0737425538822514,0.0796479978126587,0.0471411773376491,0.00317754255197348,0.142431560879847,0.0393533612938969,0.0625717781800058,0.162379696824298,-568.235661711721
0.138094181302033,0.214269611358509,0.145742994774218,0.203513650124007,0.189879667804113,0.061418073205242,0.000657984053100559,0.011670120747051,0.0924056108566411,0.262053929788088,0.133908683505014,-524.98764874668
0.263415603423573,0.340827798421446,0.164464790748117,0.249513872084628,0.0702549171887485,-0.0968793116343457,-0.0135411796460299,-0.039332904101632,0.0699247794247253,0.413722942844104,-0.110837231158544,-517.445415096365
0.29783015284818,0.365969643653136,0.199002633407583,0.287490367646804,0.0937521633061803,-0.102803034617136,-0.0129997241554128,-0.0631477941392479,0.0302664657652904,0.484593573264133,-0.115400976869455,-517.019571845844
0.287940673152405,0.354242309968208,0.190158314506279,0.278731231456742,0.0924203041894235,-0.0989886037010276,-0.0132785897301109,-0.0973910139942998,0.0411166258534366,0.478855056168358,-0.135744965828828,-517.007785059839
0.286684155409177,0.35239553603011,0.189282557347119,0.278048323735901,0.091419884511509,-0.0988679002247984,-0.0132663333847793,-0.0860432587906208,0.0377793212853805,0.479496967456323,-0.120250850032309,-517.006482027457
0.287160286532643,0.352986783223459,0.189711579036441,0.278462044199273,0.0915902661880632,-0.0991395836344405,-0.0132633211370223,-0.0870635017981524,0.0381513604212047,0.479888439118998,-0.123070132287363,-517.00636515376
0.287077532789903,0.352946545859073,0.189643570533788,0.278393199761466,0.0915499654346948,-0.0991161126855139,-0.0132648179891024,-0.0871060010052424,0.0381858634760906,0.479907026331633,-0.123035808948735,-517.006364140838
0.287056130393203,0.352933412435067,0.189627789627728,0.278378873212317,0.0915372321622223,-0.0991116221137225,-0.013265210142516,-0.0870645998689265,0.0381855615113653,0.479919582832186,-0.123008744485657,-517.006364082673
0.287056358254993,0.352933949589284,0.189627687617727,0.27837867820671,0.0915372312852874,-0.0991115677770994,-0.0132651965916915,-0.0870660004623798,0.0381854543757782,0.479919414637718,-0.123006790405645,-517.00636408264
