"b_Habitat_QualityMed","b_Habitat_QualityHigh","b_Trail_ConditionMed","b_Trail_ConditionHigh","b_CrowdingMed","b_CrowdingLow","b_cost","b_resident","b_age","b_education","b_income","b_sex","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,-5671.03663410429
0.0252256089947044,0.0510250937371059,0.0331538377288759,0.0472422242407133,0.0462125482431096,0.0304605337744455,0.00119019172842309,0.163878543545095,0.0335857110627196,0.163813023508104,0.0380020862442666,0.166386428786428,-4819.08953774021
0.0729949197055642,0.166488488394859,0.108780341007115,0.148988820666037,0.13697394160743,0.09159134862054,0.00309118281867701,0.931614616829528,0.195529925918597,0.923667218016303,0.223519656050526,0.943335746990741,-3685.52533912726
0.157792934646606,0.479486571265278,0.291035018810243,0.450747566349887,0.245698794271989,0.208887045723615,-0.00198218634700137,2.29793094587708,0.339579549302257,1.55000112208661,0.378810469093895,1.90934546201504,-3404.25753757758
0.241446067992087,0.561363394948902,0.34951247862934,0.545173572831372,0.250808307942915,0.262128450118151,-0.00726398413267271,3.32277717664769,0.592826949612588,2.28367071111158,0.651191278597254,3.0378711600386,-3353.85581015754
0.221590433333816,0.527339148462004,0.321629478454828,0.530860593796714,0.22393689961987,0.239358531701343,-0.00836554271163311,4.19119804362926,1.06006150027046,2.78622798174761,1.14997908243028,4.05073463437135,-3347.35150476206
0.207082295817669,0.512704358987065,0.308238083759824,0.520764829151872,0.214362253218004,0.226637671805048,-0.00852414818096986,5.10605936032328,1.85837774632558,3.06670416312979,1.98710628337757,4.99867259984211,-3346.71939581969
0.205684183891637,0.511343065907693,0.306664404614818,0.519387695960341,0.213448453390229,0.225212586210027,-0.00854456920375365,6.35587973479127,3.2651963912549,3.22100641035869,3.28788701596533,6.05779301907339,-3346.69960900161
0.205657327646487,0.51131612601863,0.306575712307996,0.519301120223083,0.213406576547189,0.22513613178681,-0.00854594888808431,7.55444953534684,5.76682800343432,3.28457335183264,5.21414068074506,7.05917100659113,-3346.69944910431
0.205658959279106,0.511317177047404,0.306570553437079,0.519296146978135,0.213404541431431,0.22513255000988,-0.00854601556547492,8.39199262661803,10.2540073691463,3.3001018929814,8.34111826714959,7.84241737727405,-3346.69944896929
