"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_Habitat_QualityMed_1",0.810395230029129,0.0509133575207573,15.9171437416739,0.0549193118213649,14.7561067892673
"b_Habitat_QualityHigh_1",1.11003160586851,0.052489114738818,21.1478439175808,0.0579877560370242,19.1425170023785
"b_Trail_ConditionMed_1",0.84142296432394,0.040553122200401,20.7486604894658,0.0401631707590284,20.950112962254
"b_Trail_ConditionHigh_1",0.944098811037327,0.0441047134866735,21.4058484094357,0.0466606248707899,20.2333083547782
"b_CrowdingMed_1",0.604901493153871,0.0476770323616498,12.6874820682094,0.0458603002042507,13.190090131547
"b_CrowdingLow_1",0.733581534397093,0.0445069887580479,16.4823897295106,0.0462581829697522,15.8584165503599
"b_cost_1",-0.00321214894245099,0.000935706022786717,-3.43286124512118,0.0010811787982949,-2.97096923054428
"b_Habitat_QualityMed_2",-1.68512138846264,3.37623689012259,-0.499112308556482,5.20203820409218,-0.323934835222287
"b_Habitat_QualityHigh_2",0.344795418547876,0.519463301432577,0.663753180632777,0.570643940929373,0.60422164123276
"b_Trail_ConditionMed_2",0.699400726965319,0.640574868985073,1.09183291575807,0.699777072134446,0.999462192769507
"b_Trail_ConditionHigh_2",0.722112921737876,0.68754656265845,1.05027493548331,0.665329986735276,1.08534552197358
"b_CrowdingMed_2",0.657918449427855,1.04075893889141,0.632152581008484,1.4260045857568,0.461371903007371
"b_CrowdingLow_2",0.772141030764918,0.6597194612117,1.17040814492077,0.886375647403317,0.871121666109561
"b_cost_2",-0.227449885289426,0.0904299385428213,-2.51520557189941,0.127639120218411,-1.78197628517199
"delta_2",-3.15507965211672,0.185731367604105,-16.987327950128,0.237585244462103,-13.2797794714056
