"b_Habitat_QualityMed_1","b_Habitat_QualityHigh_1","b_Trail_ConditionMed_1","b_Trail_ConditionHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","b_cost_2","delta_2","gamma_resident_2","gamma_age_2","gamma_income_2","gamma_sex_2","logLike"
0.34,0.65,0.43,0.62,0.31,0.36,-0.008,-0.02,-1,0,0,0,0,-5492.433699512
0.416327599948874,0.745036316733179,0.535015454739444,0.689324460178911,0.380744011251507,0.449505032023774,-0.00833710376934592,-0.00834301102289638,-1.54370897809803,0.327272929985351,-0.0248617002839713,-0.120477317988978,-0.400251868355552,-5127.3796357946
0.520268518193878,0.837853133068548,0.63774798520586,0.764156754445801,0.45488823106611,0.546614367401333,-0.00676957865722299,0.00249821369353611,-2.31137502714625,1.27255604148448,-0.0226088284981624,-0.30653739601825,-1.20405601610637,-4981.72065792574
0.654031350190105,0.971290208351933,0.749064917051511,0.866371637999144,0.538111606395287,0.657425418619761,-0.00408499336573464,-0.0326458483488322,-2.84990661848049,1.12737357067465,0.09366371725874,-0.359908644864562,-1.38139973328684,-4929.12367755382
0.778527820633501,1.10285099408332,0.857225639365804,0.968972322797802,0.609269682678565,0.750651669938731,-0.00258606350184006,-0.0137038951920286,-3.33087498838011,1.31522899571446,0.299008775648599,-0.35671072740831,-0.379450429845935,-4917.37051772866
0.737618111066231,1.03344711123231,0.778900722927058,0.899928997579402,0.547975276108897,0.67807113169304,-0.00302930608099907,-0.0387577142978576,-4.78750273347269,1.78263252935726,0.40600476262224,-0.41993367879069,-0.617712171660498,-4909.93281812195
0.800591041484268,1.10369254261933,0.845979117028305,0.956063716454528,0.604645817716243,0.741770590471121,-0.00284915831781964,-0.0517002563061837,-6.52572819566216,2.11918849167253,0.648197200987262,-0.308552833939124,0.115636995743011,-4903.5155454663
0.76131706668387,1.06907995459213,0.806875171893182,0.930869232883905,0.570330463023698,0.702196704810105,-0.0033696145838579,-0.0356569951533754,-7.14707812100118,2.38246652940792,0.721410301510627,-0.275663411735928,-0.082648822795198,-4899.57139477745
0.767713190786338,1.07620059558687,0.809592939538431,0.932140363680434,0.571621500280576,0.706180857808206,-0.00344656209956003,-0.0342047225067459,-7.25988865311795,2.35807349008471,0.738821725116353,-0.225115780965582,-0.29391293756057,-4898.06949121087
0.777847984916622,1.08753030373488,0.817039443434291,0.938887131033914,0.576278183737819,0.714735287509956,-0.00345238881309645,-0.0362670368401779,-7.59705840377875,2.22100547415944,0.792214572272648,-0.130727734114089,-0.685352000481839,-4896.64990070572
0.775577978113854,1.08642302776366,0.817632944843717,0.941186242059972,0.576460152238167,0.714734308086753,-0.00340075600920859,-0.0362261206983145,-7.83798738051833,2.18066717061305,0.832253787862333,-0.1201694447871,-0.715779731893069,-4896.53617647448
0.77495662538246,1.08625109799699,0.818269548761573,0.942552301232508,0.576738316382608,0.715036276379166,-0.00334742276521345,-0.0370630424314085,-8.02447846855607,2.11776323397785,0.862620164086309,-0.110816707907433,-0.702994997044399,-4896.47974209057
0.775280785388941,1.08630454533344,0.818042247904724,0.942115318031073,0.576612486017958,0.715017223473407,-0.00335206159449453,-0.0373420472422884,-8.06171457562378,2.09536185394774,0.86718809248296,-0.107269394066087,-0.687948610499456,-4896.47087699342
0.775590045845808,1.08639777639115,0.81781176695247,0.9416614895231,0.576471716767013,0.714990718141618,-0.00336373159005452,-0.037442304955863,-8.06722292557436,2.08530921236862,0.866557798712504,-0.10548588392515,-0.676573354612509,-4896.46826173839
0.775626614937451,1.0864272718134,0.817748110958635,0.941549788143792,0.576424248675874,0.714980724257039,-0.00336898432229953,-0.0374313290804409,-8.06273692807869,2.08598990646452,0.865225191096523,-0.10543453591581,-0.674514594366789,-4896.46792470496
0.775585044169595,1.08642274232991,0.817733208641805,0.94153963295128,0.576406631607173,0.714972243752444,-0.00337099944469502,-0.0374201481246463,-8.06016048698112,2.08784176598183,0.864528761443227,-0.105656971090894,-0.674625642298077,-4896.46785378747
0.77554864198789,1.08640855571438,0.817735225488384,0.941554605896012,0.57640457902673,0.714966901560291,-0.00337099192706905,-0.0374212768484204,-8.06020768047833,2.08858147017581,0.864495991236594,-0.105783259298912,-0.675079337738534,-4896.46784639195
0.775531281159608,1.08639918782638,0.817736526140579,0.941562195375602,0.576404334542932,0.714963845366913,-0.00337079232162656,-0.0374245973025366,-8.06057869864858,2.08875208480146,0.864560888706847,-0.105833446002961,-0.675302507675128,-4896.46784544271
0.775528233429691,1.08639660349631,0.817736356745896,0.941562822011892,0.576404119292946,0.714962963955996,-0.00337072699506019,-0.0374259874192296,-8.06070718922258,2.08872403585361,0.864588936048663,-0.105841740410424,-0.675340373725807,-4896.46784538149
