"b_HabitatMed_1","b_HabitatHigh_1","b_TrailCondMed_1","b_TrailCondHigh_1","b_CrowdingMed_1","b_CrowdingLow_1","b_cost_1","asc_optout_1","b_HabitatMed_2","b_HabitatHigh_2","b_TrailCondMed_2","b_TrailCondHigh_2","b_CrowdingMed_2","b_CrowdingLow_2","b_cost_2","asc_optout_2","b_HabitatMed_3","b_HabitatHigh_3","b_TrailCondMed_3","b_TrailCondHigh_3","b_CrowdingMed_3","b_CrowdingLow_3","b_cost_3","asc_optout_3","b_HabitatMed_4","b_HabitatHigh_4","b_TrailCondMed_4","b_TrailCondHigh_4","b_CrowdingMed_4","b_CrowdingLow_4","b_cost_4","asc_optout_4","delta_2","delta_3","delta_4","logLike"
-1.05,0.39,1.63,1.38,0.84,0.16,-0.005,-0.59,3.36,0.005,-4.91,-0.9,-1.23,-1.94,-0.124,-9.99,0.5,1,0.3,0.5,0.2,0.3,-0.07,-2,0.1,0.2,0.1,0.2,0.05,0.1,-0.01,1,-0.81,-1.5,-2,-4847.01796304565
-0.99223312080195,0.436957947298597,1.65106776108382,1.38410386807588,0.821021009488493,0.203557805344976,-0.00348501196461865,-0.676050662905883,3.52779248894515,-0.00204450902657838,-4.86501347000641,-1.08639437562527,-1.28487575576766,-1.80814270861306,-0.121457556466527,-10.2832301875404,0.851922260589327,1.06851744862938,0.359204970075058,0.577927036149519,0.0710617543080592,0.447374105700992,-0.0602468782552938,-2.12407468173273,0.803219921508794,0.622696438414097,0.189345527646771,0.503391726438638,0.132950826003354,0.651182426000823,-0.00301737346776073,0.834397980689348,-0.793419808097382,-1.69149240184427,-2.054046714479,-4776.42105930413
-0.943181760910095,0.530762471813565,1.69866726168067,1.40015715133668,0.740364933435994,0.230043641875245,-0.00286256153033135,-0.702031526221579,3.67361775495315,0.185120283124892,-4.8372866792849,-1.41305940913636,-1.09966191981842,-1.74822152164317,-0.119761644572139,-10.2496539409793,1.10861062636007,0.789203391341718,0.0898393402684886,0.583775445914775,-0.404096547448744,0.292334012902615,-0.058535754839859,-1.64079815878735,1.46869776427255,1.14753951766169,-0.123891298275662,0.426967950325061,0.0721159878002361,0.993143053088121,-0.00592319343943823,0.865155447118066,-0.81325117375414,-1.86619233308628,-1.82261615689059,-4763.38144114733
-0.983931216502001,0.559513725502183,1.77026521551719,1.46209289599635,0.663655581119765,0.194364378588811,-0.00385863993193299,-0.831433626991333,3.54801361144928,0.315143379791723,-4.86743092234816,-1.48277860873956,-0.995461685799299,-1.6947037132318,-0.116984962763829,-10.6896539508122,1.18338317867165,0.318892697312034,-0.343538760090985,0.60548783730768,-0.520214175593761,0.209289586748829,-0.0624496373358765,-1.3057029814882,2.24232839440822,1.81052169447274,-0.0656164158987283,0.224124610680001,0.131849919184226,1.1108632534261,-0.00847817864777725,0.863848901441505,-0.870320030107181,-2.07566915352744,-1.59294337419291,-4758.68799313884
-1.11911174616274,0.500365858296608,1.79320638648189,1.54172870962696,0.588003680843631,0.133782129307753,-0.0041732332610852,-1.0245011299537,3.39253312802661,0.174696640579662,-4.94553225588899,-1.40107438776777,-0.883642050791358,-1.5649428657586,-0.113890233227676,-11.4211640546586,1.21096673636004,-0.371311466634549,-0.733578698866576,0.461919799014492,-0.335586180127954,0.184354415782287,-0.0769413699588889,-1.20153641640679,2.71014877254813,2.49623099301792,0.30424525747181,0.330401744055652,0.102115769795543,1.11894416638547,-0.0136852824937403,1.00360358019066,-0.882086500665611,-2.34227301982154,-1.40237104627203,-4757.08744844683
-1.30394711579149,0.445290646222559,1.72212191641362,1.54651183539822,0.552688671431416,0.0447472401109308,-0.0025909243052962,-1.14361842301069,3.28137951342127,0.0911719828680193,-4.7629105642066,-1.15499595827232,-0.538528906306189,-1.88774003489957,-0.112821728468174,-9.80098962041939,0.871149304321312,-0.512122518668708,-1.10111453820866,0.246173963122289,-0.122087597342204,0.789376594268109,-0.0866586793323964,-1.61919259007147,3.21356933573607,2.36941492445069,0.377422152107604,0.357724288373872,0.07374744755215,1.45958308854722,-0.0165907996461275,1.46879427077589,-0.847637492787422,-2.41784143543086,-1.32873519510976,-4756.50894538113
-1.34917722363393,0.37382538076151,1.6890994496439,1.56883256209552,0.554794981048088,0.0136917299860961,-0.000976999419460589,-1.16616677128761,3.27699297361217,0.20040665350262,-4.77175613366798,-0.987639076044125,-0.574502438441171,-1.47549133491944,-0.103766528363037,-9.7041723567251,0.833026683611429,-1.99712298486572,-0.30211585557056,0.337422945245916,-0.147267590269269,-0.665077401715661,-0.102925067058247,-2.23639220850799,3.59685624301757,3.23722645599062,0.729225231202922,0.438042815197625,-0.0300070136565483,1.90353639477014,-0.0305409456067542,1.63264324431888,-0.811829097031615,-2.46043151668814,-1.30835825222954,-4755.91560434804
-1.32127084394179,0.39332526140012,1.69227971754194,1.5682635456025,0.584601603398522,-5.18703161448957e-05,-0.000775451252963873,-1.16627240430577,3.19249876017873,0.385627555493034,-4.70398428663217,-0.974161588634635,-0.540918548017577,-1.46402183641023,-0.104352372765924,-9.64606797801474,0.597989867314055,-1.12082764397487,-0.243924662491193,0.654854795826565,-0.241520846074695,-0.0370681302949771,-0.0957132933772499,-2.04808490439614,3.83455301871634,3.14233529752415,0.700152914542115,0.333604675472678,-0.268574756207865,1.98625834182696,-0.0317753795644188,1.82118626043093,-0.78618742186622,-2.49687817917347,-1.31244780712059,-4755.0711004047
-1.32066763323967,0.380820359582977,1.6798944080113,1.50850072143582,0.700447914600532,0.0484185889302041,-0.00196147141163978,-1.04303067591176,2.98913576766326,0.282404964048633,-4.35670491664134,-0.869447771765097,-0.619268458138215,-1.83039253245436,-0.103632478743143,-9.64952805624142,-0.888215232174421,-0.807432568957566,-1.48925979902265,-0.52760033127793,0.157813082031112,-0.0957830190025066,-0.0628771346373251,-2.66065305921668,4.3132333774312,2.9174968807608,0.859235358311629,0.587904395193636,-0.518221164710098,2.40052435787333,-0.0343686530774372,2.22178403372039,-0.741790190092542,-2.64401415919415,-1.3541998669437,-4754.4951383853
-1.32437628190048,0.377353975482269,1.67009982004939,1.51671647393701,0.697158044442014,0.0597842446166153,-0.00184680141863341,-1.0386340757774,2.98535959627595,0.272259500102496,-4.37375198641606,-0.895135769630812,-0.621412398214394,-1.78705935714322,-0.103270815583267,-9.65195572241901,-1.12004929830344,-1.03909336555863,-1.54181859563598,-0.414973777859211,0.119867067925594,-0.164751778714019,-0.0639893012544712,-2.66188954033041,4.29966013638468,2.99236015762901,0.858566789439323,0.571879436706204,-0.506539133965071,2.44633832845197,-0.0343380004671091,2.23248761947433,-0.73149610002969,-2.62200509471559,-1.34785918208769,-4754.14506718198
